2026-03-09 21:43:26,570 INFO ============================================================
2026-03-09 21:43:26,570 INFO TCR INTERNAL FORMAT -> AIRR FORMAT CONVERSION
2026-03-09 21:43:26,570 INFO Started: 20260309_214326
2026-03-09 21:43:26,570 INFO ============================================================
2026-03-09 21:43:26,570 INFO Input:   /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/internal_format_clean/TCR
2026-03-09 21:43:26,570 INFO Output:  /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/airr_format_clean/TCR
2026-03-09 21:43:26,570 INFO Reports: /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/scripts/reports
2026-03-09 21:43:26,572 INFO 
Found 542 input files

2026-03-09 21:43:26,572 INFO [1/542] BFI-0000234
2026-03-09 22:18:38,623 INFO   182,902 sequences -> part_table_BFI-0003148.bz2
2026-03-09 22:18:55,112 INFO   168,054 sequences -> part_table_BFI-0003149.bz2
2026-03-09 22:19:12,534 INFO   176,384 sequences -> part_table_BFI-0003150.bz2
2026-03-09 22:19:31,264 INFO   190,723 sequences -> part_table_BFI-0003152.bz2
2026-03-09 22:19:48,341 INFO   173,833 sequences -> part_table_BFI-0003153.bz2
2026-03-09 22:20:05,006 INFO   170,036 sequences -> part_table_BFI-0003154.bz2
2026-03-09 22:20:29,133 INFO   239,296 sequences -> part_table_BFI-0003155.bz2
2026-03-09 22:20:46,321 INFO   174,656 sequences -> part_table_BFI-0003156.bz2
2026-03-09 22:21:04,001 INFO   179,603 sequences -> part_table_BFI-0003157.bz2
2026-03-09 22:21:22,824 INFO   191,923 sequences -> part_table_BFI-0003158.bz2
2026-03-09 22:21:40,829 INFO   184,506 sequences -> part_table_BFI-0003159.bz2
2026-03-09 22:21:59,062 INFO   185,146 sequences -> part_table_BFI-0003160.bz2
2026-03-09 22:22:17,931 INFO   186,906 sequences -> part_table_BFI-0003161.bz2
2026-03-09 22:22:35,322 INFO   177,205 sequences -> part_table_BFI-0003162.bz2
