2026-03-12 23:25:17,650 INFO ============================================================
2026-03-12 23:25:17,650 INFO TCR INTERNAL FORMAT -> AIRR FORMAT CONVERSION
2026-03-12 23:25:17,650 INFO Started: 20260312_232517
2026-03-12 23:25:17,650 INFO ============================================================
2026-03-12 23:25:17,650 INFO Input:   /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/internal_format_clean/TCR
2026-03-12 23:25:17,650 INFO Output:  /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/airr_format_clean/TCR
2026-03-12 23:25:17,650 INFO Reports: /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/scripts/reports
2026-03-12 23:25:17,652 INFO 
Found 542 input files

2026-03-12 23:25:17,652 INFO [1/542] BFI-0000234
2026-03-12 23:48:57,920 INFO   188,682 sequences -> part_table_BFI-0003126.tsv.gz
2026-03-12 23:49:13,210 INFO   169,036 sequences -> part_table_BFI-0003127.tsv.gz
2026-03-12 23:49:29,681 INFO   182,927 sequences -> part_table_BFI-0003128.tsv.gz
2026-03-12 23:50:01,174 INFO   343,576 sequences -> part_table_BFI-0003129.tsv.gz
2026-03-12 23:50:35,241 INFO   377,256 sequences -> part_table_BFI-0003130.tsv.gz
2026-03-12 23:50:51,187 INFO   177,426 sequences -> part_table_BFI-0003131.tsv.gz
2026-03-12 23:51:06,354 INFO   171,230 sequences -> part_table_BFI-0003132.tsv.gz
2026-03-12 23:51:35,495 INFO   332,689 sequences -> part_table_BFI-0003133.tsv.gz
2026-03-12 23:51:35,495 INFO [100/542] BFI-0003134
2026-03-12 23:51:51,403 INFO   183,801 sequences -> part_table_BFI-0003134.tsv.gz
2026-03-12 23:52:06,927 INFO   170,069 sequences -> part_table_BFI-0003135.tsv.gz
2026-03-12 23:52:43,072 INFO   399,614 sequences -> part_table_BFI-0003136.tsv.gz
2026-03-12 23:52:59,053 INFO   181,117 sequences -> part_table_BFI-0003137.tsv.gz
2026-03-12 23:53:14,257 INFO   169,657 sequences -> part_table_BFI-0003138.tsv.gz
2026-03-12 23:53:29,743 INFO   172,025 sequences -> part_table_BFI-0003139.tsv.gz
2026-03-12 23:54:00,948 INFO   348,515 sequences -> part_table_BFI-0003140.tsv.gz
2026-03-12 23:54:14,302 INFO   149,806 sequences -> part_table_BFI-0003141.tsv.gz
2026-03-12 23:54:46,931 INFO   364,373 sequences -> part_table_BFI-0003142.tsv.gz
2026-03-12 23:54:53,341 INFO   77,188 sequences -> part_table_BFI-0003143.tsv.gz
2026-03-12 23:55:09,056 INFO   174,923 sequences -> part_table_BFI-0003144.tsv.gz
2026-03-12 23:55:20,550 INFO   126,797 sequences -> part_table_BFI-0003145.tsv.gz
2026-03-12 23:55:54,900 INFO   376,076 sequences -> part_table_BFI-0003146.tsv.gz
2026-03-12 23:56:11,352 INFO   183,723 sequences -> part_table_BFI-0003147.tsv.gz
2026-03-12 23:56:27,386 INFO   182,902 sequences -> part_table_BFI-0003148.tsv.gz
2026-03-12 23:56:42,304 INFO   168,054 sequences -> part_table_BFI-0003149.tsv.gz
2026-03-12 23:56:57,968 INFO   176,384 sequences -> part_table_BFI-0003150.tsv.gz
2026-03-12 23:57:15,210 INFO   190,723 sequences -> part_table_BFI-0003152.tsv.gz
2026-03-12 23:57:30,631 INFO   173,833 sequences -> part_table_BFI-0003153.tsv.gz
2026-03-12 23:57:45,997 INFO   170,036 sequences -> part_table_BFI-0003154.tsv.gz
2026-03-12 23:58:07,752 INFO   239,296 sequences -> part_table_BFI-0003155.tsv.gz
2026-03-12 23:58:23,485 INFO   174,656 sequences -> part_table_BFI-0003156.tsv.gz
2026-03-12 23:58:39,836 INFO   179,603 sequences -> part_table_BFI-0003157.tsv.gz
2026-03-12 23:58:57,078 INFO   191,923 sequences -> part_table_BFI-0003158.tsv.gz
2026-03-12 23:59:13,613 INFO   184,506 sequences -> part_table_BFI-0003159.tsv.gz
2026-03-12 23:59:30,107 INFO   185,146 sequences -> part_table_BFI-0003160.tsv.gz
2026-03-12 23:59:46,790 INFO   186,906 sequences -> part_table_BFI-0003161.tsv.gz
2026-03-13 00:00:02,693 INFO   177,205 sequences -> part_table_BFI-0003162.tsv.gz
2026-03-13 00:00:16,038 INFO   147,871 sequences -> part_table_BFI-0003163.tsv.gz
2026-03-13 00:00:28,368 INFO   139,828 sequences -> part_table_BFI-0003450.tsv.gz
2026-03-13 00:00:38,424 INFO   118,471 sequences -> part_table_BFI-0003451.tsv.gz
2026-03-13 00:00:47,914 INFO   111,273 sequences -> part_table_BFI-0003452.tsv.gz
2026-03-13 00:01:03,128 INFO   171,694 sequences -> part_table_BFI-0003453.tsv.gz
2026-03-13 00:01:13,979 INFO   124,479 sequences -> part_table_BFI-0003454.tsv.gz
2026-03-13 00:01:25,604 INFO   139,123 sequences -> part_table_BFI-0003455.tsv.gz
2026-03-13 00:01:39,090 INFO   156,024 sequences -> part_table_BFI-0003456.tsv.gz
2026-03-13 00:01:50,854 INFO   139,637 sequences -> part_table_BFI-0003457.tsv.gz
2026-03-13 00:02:02,234 INFO   141,226 sequences -> part_table_BFI-0003458.tsv.gz
2026-03-13 00:02:14,473 INFO   142,119 sequences -> part_table_BFI-0003459.tsv.gz
2026-03-13 00:02:27,588 INFO   156,912 sequences -> part_table_BFI-0003460.tsv.gz
2026-03-13 00:02:38,719 INFO   128,813 sequences -> part_table_BFI-0003461.tsv.gz
2026-03-13 00:02:48,730 INFO   122,377 sequences -> part_table_BFI-0003462.tsv.gz
2026-03-13 00:03:00,582 INFO   139,612 sequences -> part_table_BFI-0003463.tsv.gz
2026-03-13 00:03:10,935 INFO   127,262 sequences -> part_table_BFI-0003465.tsv.gz
2026-03-13 00:03:22,640 INFO   135,292 sequences -> part_table_BFI-0003466.tsv.gz
2026-03-13 00:03:34,829 INFO   142,433 sequences -> part_table_BFI-0003467.tsv.gz
2026-03-13 00:03:45,843 INFO   133,166 sequences -> part_table_BFI-0003468.tsv.gz
2026-03-13 00:03:54,664 INFO   104,019 sequences -> part_table_BFI-0003469.tsv.gz
2026-03-13 00:04:05,331 INFO   124,143 sequences -> part_table_BFI-0003470.tsv.gz
2026-03-13 00:04:15,424 INFO   116,727 sequences -> part_table_BFI-0003471.tsv.gz
2026-03-13 00:04:15,424 INFO [150/542] BFI-0003472
2026-03-13 00:04:25,751 INFO   120,336 sequences -> part_table_BFI-0003472.tsv.gz
2026-03-13 00:04:36,470 INFO   124,015 sequences -> part_table_BFI-0003473.tsv.gz
2026-03-13 00:04:45,968 INFO   112,869 sequences -> part_table_BFI-0003474.tsv.gz
2026-03-13 00:04:57,481 INFO   132,181 sequences -> part_table_BFI-0003475.tsv.gz
2026-03-13 00:05:03,671 INFO   71,785 sequences -> part_table_BFI-0003476.tsv.gz
2026-03-13 00:05:14,318 INFO   126,056 sequences -> part_table_BFI-0003477.tsv.gz
2026-03-13 00:05:22,323 INFO   93,357 sequences -> part_table_BFI-0003478.tsv.gz
2026-03-13 00:05:34,538 INFO   140,661 sequences -> part_table_BFI-0003479.tsv.gz
2026-03-13 00:05:45,275 INFO   123,948 sequences -> part_table_BFI-0003480.tsv.gz
2026-03-13 00:05:56,764 INFO   136,714 sequences -> part_table_BFI-0003481.tsv.gz
2026-03-13 00:06:02,746 INFO   70,663 sequences -> part_table_BFI-0003482.tsv.gz
2026-03-13 00:06:16,280 INFO   152,208 sequences -> part_table_BFI-0003483.tsv.gz
2026-03-13 00:06:27,223 INFO   138,735 sequences -> part_table_BFI-0003484.tsv.gz
2026-03-13 00:06:36,327 INFO   109,538 sequences -> part_table_BFI-0003485.tsv.gz
2026-03-13 00:06:46,567 INFO   116,878 sequences -> part_table_BFI-0003486.tsv.gz
2026-03-13 00:06:57,098 INFO   122,310 sequences -> part_table_BFI-0003487.tsv.gz
2026-03-13 00:07:53,223 INFO   648,384 sequences -> part_table_BFI-0003488.tsv.gz
2026-03-13 00:07:57,775 INFO   54,531 sequences -> part_table_BFI-0003700.tsv.gz
2026-03-13 00:08:05,209 INFO   93,986 sequences -> part_table_BFI-0003701.tsv.gz
2026-03-13 00:08:11,715 INFO   79,860 sequences -> part_table_BFI-0003702.tsv.gz
2026-03-13 00:08:18,260 INFO   77,182 sequences -> part_table_BFI-0003703.tsv.gz
2026-03-13 00:08:24,903 INFO   77,140 sequences -> part_table_BFI-0003704.tsv.gz
2026-03-13 00:08:32,035 INFO   80,800 sequences -> part_table_BFI-0003705.tsv.gz
2026-03-13 00:08:38,982 INFO   80,600 sequences -> part_table_BFI-0003706.tsv.gz
2026-03-13 00:08:45,937 INFO   83,650 sequences -> part_table_BFI-0003707.tsv.gz
2026-03-13 00:08:52,361 INFO   74,626 sequences -> part_table_BFI-0003708.tsv.gz
